id_game,title,genre,price
1,Terraria(2011),Open World Survival Craft,$9.99
2,Portal 2(2011),Platformer,$9.99
3,Stardew Valley(2016),Farming Sim,$14.99
4,Hades(2020),Action Roguelike,$24.99
5,Left 4 Dead 2(2009),Zombies,$9.99
6,People Playground(2019),Sandbox,$9.99
7,Euro Truck Simulator 2(2012),Transportation,$19.99
8,Vampire Survivors(2021),Action Roguelike,$2.69
9,RimWorld(2018),Colony Sim,$34.99
10,Portal(2007),Puzzle,$9.99
11,The Binding of Isaac: Rebirth(2014),Action Roguelike,$14.99
12,Garry's Mod(2006),Sandbox,$9.99
13,Phasmophobia(2020),Horror,$13.99
14,Half-Life: Alyx(2020),FPS,$59.99
15,Counter-Strike(2000),Action,$9.99
16,Factorio(2020),Automation,$30.00
17,Helltaker(2020),Cute,Free
18,Mount & Blade: Warband(2010),Medieval,$19.99
19,Bloons TD 6(2018),Tower Defense,$9.99
20,Slay the Spire(2019),Roguelike Deckbuilder,$24.99
21,Hollow Knight(2017),Metroidvania,$14.99
22,Totally Accurate Battle Simulator(2021),Sandbox,$8.99
23,Half-Life 2(2004),FPS,$9.99
24,Slime Rancher(2017),Cute,$19.99
25,ULTRAKILL(2020),FPS,$19.99
26,The Witcher® 3: Wild Hunt(2015),Open World,$39.99
27,Katana ZERO(2019),Pixel Graphics,$14.99
28,The Henry Stickmin Collection(2020),Funny,$14.99
29,OMORI(2020),Psychological Horror,$19.99
30,Resident Evil 2(2019),Zombies,$39.99
31,Dyson Sphere Program(2021),Space,$19.99
32,Don't Starve Together(2016),Exploration,$14.99
33,A Hat in Time(2017),Cute,$29.99
34,Doki Doki Literature Club!(2017),Psychological Horror,Free
35,Deep Rock Galactic(2020),Co-op,$29.99
36,Undertale(2015),Great Soundtrack,$9.99
37,Dead Cells(2018),Roguelite,$24.99
38,Satisfactory(2020),Base Building,$29.99
39,Celeste(2018),Precision Platformer,$19.99
40,Risk of Rain 2(2020),Third-Person Shooter,$24.99
41,Dishonored(2012),Stealth,$9.99
42,Hotline Miami(2012),Great Soundtrack,$9.99
43,Subnautica(2018),Open World Survival Craft,$29.99
44,South Park™: The Stick of Truth™(2014),RPG,$29.99
45,BeamNG(2015),Simulation,$24.99
46,Tomb Raider(2013),Adventure,$14.99
47,Fallout: New Vegas(2010),Open World,$9.99
48,BattleBlock Theater®(2014),Comedy,$14.99
49,OneShot(2016),Story Rich,$9.99
50,Plants vs(2009),Tower Defense,$4.99
51,Don't Starve(None),Survival,$9.99
52,Inscryption(2021),Card Battler,$19.99
53,Mirror(2018),Sexual Content,$0.79
54,Sid Meier's Civilization® V(2010),Turn-Based Strategy,$29.99
55,Valheim(2021),Open World Survival Craft,$19.99
56,Firework(2021),Horror,$9.99
57,A Short Hike(2019),Adventure,$7.99
58,Persona 4 Golden(2020),JRPG,$19.99
59,Life is Strange - Episode 1(2015),Story Rich,Free
60,Cookie Clicker(2021),Clicker,$4.99
61,Counter-Strike: Source(2004),Shooter,$9.99
62,The Walking Dead(2012),Zombies,$14.99
63,Rhythm Doctor(2021),Music,$15.99
64,Senren＊Banka(2020),Casual,$34.99
65,American Truck Simulator(2016),Automobile Sim,$19.99
66,VA-11 Hall-A: Cyberpunk Bartender Action(2016),Cyberpunk,$14.99
67,Cuphead(2017),Difficult,$19.99
68,The Wolf Among Us(2013),Adventure,$14.99
69,Divinity: Original Sin 2 - Definitive Edition(2017),Tactical RPG,$44.99
70,Broforce(2015),America,$14.99
71,Ori and the Will of the Wisps(2020),Beautiful,$9.89
72,"Papers, Please(2013)",Political,$9.99
73,Oxygen Not Included(2019),Colony Sim,$24.99
74,Ravenfield(2017),FPS,$14.99
75,Half-Life(1998),FPS,$9.99
76,God of War(2022),Action,$49.99
77,The Forest(2018),Open World Survival Craft,$19.99
78,Castle Crashers®(2012),Co-op,$14.99
79,Baba Is You(2019),Puzzle,$14.99
80,There Is No Game: Wrong Dimension(2020),Adventure,$12.99
81,Outlast(2013),Horror,$19.99
82,Dying Light(2015),Zombies,$29.99
83,The Room(2014),Puzzle,$4.99
84,One Finger Death Punch(2014),Action,$4.99
85,STAR WARS™ Empire at War - Gold Pack(2006),Strategy,$19.99
86,GRIS(2018),Beautiful,$16.99
87,The Room 4: Old Sins(2021),Puzzle,$8.99
88,PowerWash Simulator(2021),Simulation,$19.99
89,To the Moon(2011),Story Rich,$9.99
90,Iron Snout(2016),2D Fighter,Free
91,It Takes Two(2021),Co-op,$39.99
92,DUSK(2018),FPS,$19.99
93,Tiny Bunny(2021),Visual Novel,$12.99
94,Grimm's Hollow(2019),Pixel Graphics,Free
95,The Test(2020),Multiple Endings,$1.99
96,The Elder Scrolls V: Skyrim(2011),Open World,$19.99
97,Enter the Gungeon(2016),Bullet Hell,$14.99
98,The Room Two(2016),Puzzle,$4.99
99,Finding Paradise(2017),Story Rich,$9.99
100,Just Shapes & Beats(2018),Rhythm,$19.99
101,POSTAL 2(2003),Open World,$9.99
102,DOOM(2016),FPS,$19.99
